chr,acc,locus_tag,old_locus_tag,length_nt,start,end,strand,type,annotation
NC_017941.2,WP_004057699.1,HFX_RS02820,HFX_0582,558,543895,544452,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057697.1,HFX_RS02825,HFX_0583,321,544649,544969,+,protein_coding,transposase
NC_017941.2,WP_004057696.1,HFX_RS02830,HFX_0585,705,545344,546048,+,protein_coding,hypothetical protein
NC_017941.2,WP_014732145.1,HFX_RS02835,HFX_0586,933,546419,547351,+,protein_coding,4-hydroxybenzoate polyprenyltransferase
NC_017941.2,WP_004057692.1,HFX_RS02840,HFX_0587,1686,547435,549120,+,protein_coding,PAS domain S-box protein
NC_017941.2,WP_004057690.1,HFX_RS02845,HFX_0588,1035,549269,550303,+,protein_coding,DUF4352 domain-containing protein
NC_017941.2,WP_014732147.1,HFX_RS02850,HFX_0590,1326,550865,552190,-,protein_coding,HD domain-containing protein
NC_017941.2,WP_004057685.1,HFX_RS02855,HFX_0591,1245,553120,554364,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057683.1,HFX_RS02860,HFX_0592,222,554575,554796,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057681.1,HFX_RS02865,HFX_0593,540,555759,556298,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057679.1,HFX_RS02870,HFX_0594,459,556295,556753,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057677.1,HFX_RS02875,HFX_0595,684,556746,557429,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057675.1,HFX_RS02880,HFX_0596,528,557426,557953,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057673.1,HFX_RS02885,HFX_0597,744,557946,558689,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057672.1,HFX_RS02890,HFX_0598,1920,558686,560605,-,protein_coding,membrane protein
NC_017941.2,WP_004057670.1,HFX_RS02895,HFX_0599,2310,560602,562911,-,protein_coding,secretion system protein
NC_017941.2,WP_049917437.1,HFX_RS02900,HFX_0600,1761,563204,564964,-,protein_coding,PAS domain S-box protein
NC_017941.2,WP_004057666.1,HFX_RS02905,HFX_0601,852,565056,565907,-,protein_coding,ubiquinone biosynthesis protein UbiA
NC_017941.2,WP_004057665.1,HFX_RS02910,HFX_0602,483,566295,566777,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057664.1,HFX_RS02915,HFX_0603,495,566831,567325,-,protein_coding,hypothetical protein
NC_017941.2,WP_049917436.1,HFX_RS02920,HFX_0604,2700,567534,570233,+,protein_coding,ABC transporter ATP-binding protein
NC_017941.2,WP_004057662.1,HFX_RS02925,HFX_0605,1719,570360,572078,+,protein_coding,ABC transporter substrate-binding protein
NC_017941.2,WP_004057659.1,HFX_RS02930,HFX_0606,1020,572101,573120,+,protein_coding,ABC transporter permease
NC_017941.2,WP_004057657.1,HFX_RS02935,HFX_0607,936,573117,574052,+,protein_coding,ABC transporter permease
NC_017941.2,WP_004057655.1,HFX_RS02940,HFX_0608,387,574092,574478,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057654.1,HFX_RS02945,HFX_0609,1227,574599,575825,-,protein_coding,cell division control protein Cdc6
NC_017941.2,WP_004057651.1,HFX_RS02950,HFX_0610,1005,576670,577674,+,protein_coding,DUF4129 domain-containing protein
NC_017941.2,WP_004057649.1,HFX_RS02955,HFX_0611,615,577671,578285,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057647.1,HFX_RS02960,HFX_0612,1269,578282,579550,+,protein_coding,DUF58 domain-containing protein
NC_017941.2,WP_004057642.1,HFX_RS02970,HFX_0613,951,580105,581055,-,protein_coding,MoxR family ATPase
NC_017941.2,NA,HFX_RS02975,HFX_0614,85,581208,581292,+,tRNA,tRNA-Ser
NC_017941.2,WP_004057636.1,HFX_RS02980,HFX_0617,1539,582132,583670,-,protein_coding,2-isopropylmalate synthase
NC_017941.2,WP_004057634.1,HFX_RS02985,HFX_0617A,348,583864,584211,-,protein_coding,DUF192 domain-containing protein
NC_017941.2,WP_004057632.1,HFX_RS02990,HFX_0618,525,584320,584844,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057630.1,HFX_RS02995,HFX_0619,552,584968,585519,+,protein_coding,GMP synthase
NC_017941.2,WP_004057628.1,HFX_RS03000,HFX_0620,1914,585655,587568,+,protein_coding,DUF2070 domain-containing protein
NC_017941.2,WP_004057625.1,HFX_RS03005,HFX_0622,255,588065,588319,-,protein_coding,DUF3194 domain-containing protein
NC_017941.2,WP_004057623.1,HFX_RS03010,HFX_0623,375,588320,588694,-,protein_coding,prefoldin subunit beta
NC_017941.2,WP_004057621.1,HFX_RS03015,HFX_0624,270,588785,589054,-,protein_coding,KEOPS complex Pcc1 subunit
NC_017941.2,WP_004044283.1,HFX_RS03020,HFX_0625,135,589056,589190,-,protein_coding,DNA-directed RNA polymerase subunit P
NC_017941.2,WP_004057619.1,HFX_RS03025,HFX_0626,270,589224,589493,-,protein_coding,50S ribosomal protein L37ae
NC_017941.2,WP_004057616.1,HFX_RS03030,HFX_0627,726,589611,590336,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057615.1,HFX_RS03035,HFX_0627A,804,590481,591284,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057613.1,HFX_RS03040,HFX_0628,1359,591297,592655,-,protein_coding,tRNA pseudouridine(13) synthase TruD
NC_017941.2,WP_004057611.1,HFX_RS03045,HFX_0629,339,592655,592993,-,protein_coding,aminoacyl-tRNA hydrolase
NC_017941.2,WP_004057609.1,HFX_RS03050,HFX_0630,741,593127,593867,+,protein_coding,YIP1 family protein
NC_017941.2,WP_004057606.1,HFX_RS03055,HFX_0631,588,593984,594571,+,protein_coding,dCTP deaminase
NC_017941.2,WP_004057604.1,HFX_RS03060,HFX_0632,900,594568,595467,+,protein_coding,helix-turn-helix domain-containing protein
NC_017941.2,WP_081831434.1,HFX_RS03065,HFX_0633,807,595472,596278,+,protein_coding,methyltransferase domain-containing protein
NC_017941.2,WP_004057598.1,HFX_RS03070,HFX_0634,924,596399,597322,-,protein_coding,"ribose 1,5-bisphosphate isomerase"
NC_017941.2,WP_004057595.1,HFX_RS03075,HFX_0635,981,597532,598512,+,protein_coding,glutathione S-transferase family protein
NC_017941.2,WP_004057593.1,HFX_RS03080,HFX_0636,1074,598606,599679,+,protein_coding,sulfite oxidase
NC_017941.2,WP_004057591.1,HFX_RS03085,HFX_0637,750,599698,600447,-,protein_coding,phosphopantothenate/pantothenate synthetase
NC_017941.2,WP_004057589.1,HFX_RS03090,HFX_0638,834,600514,601347,-,protein_coding,sugar kinase
NC_017941.2,WP_004057588.1,HFX_RS03095,HFX_0639,432,601412,601843,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057587.1,HFX_RS03100,HFX_0640,1305,602118,603422,-,protein_coding,aspartate--tRNA(Asn) ligase
NC_017941.2,WP_004057586.1,HFX_RS03105,HFX_0641,735,603622,604356,+,protein_coding,DUF4013 domain-containing protein
NC_017941.2,WP_004057585.1,HFX_RS03110,HFX_0642,726,604472,605197,-,protein_coding,putative phosphoglycerol geranylgeranyltransferase
NC_017941.2,WP_004057584.1,HFX_RS03115,HFX_0643,1005,605303,606307,+,protein_coding,restriction endonuclease
NC_017941.2,WP_004057583.1,HFX_RS03120,HFX_0644,2568,606304,608871,-,protein_coding,DNA topoisomerase I
NC_017941.2,WP_004057582.1,HFX_RS03125,HFX_0645,1404,609134,610537,+,protein_coding,MATE family efflux transporter
NC_017941.2,WP_004057580.1,HFX_RS03135,HFX_0646,1491,610845,612335,-,protein_coding,Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB
NC_017941.2,WP_004057579.1,HFX_RS03140,HFX_0647,294,612597,612890,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057578.1,HFX_RS03145,HFX_0648,3699,612975,616673,+,protein_coding,chromosome segregation protein SMC
NC_017941.2,WP_004057577.1,HFX_RS03150,HFX_0649,1074,616666,617739,+,protein_coding,chromosome segregation protein ScpA
NC_017941.2,WP_004057576.1,HFX_RS03155,HFX_0650,450,617772,618221,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057575.1,HFX_RS03160,HFX_0651,861,618234,619094,-,protein_coding,S-methyl-5'-thioadenosine phosphorylase
NC_017941.2,WP_004057574.1,HFX_RS03165,HFX_0652,972,619156,620127,-,protein_coding,transporter
NC_017941.2,WP_004057573.1,HFX_RS03170,HFX_0653,714,620252,620965,-,protein_coding,phosphoribosyltransferase
NC_017941.2,WP_004057571.1,HFX_RS03175,HFX_0655,900,621456,622355,+,protein_coding,PhzF family phenazine biosynthesis protein
NC_017941.2,WP_004057570.1,HFX_RS03180,HFX_0656,765,622389,623153,-,protein_coding,proteasome assembly chaperone family protein
NC_017941.2,WP_004057569.1,HFX_RS03185,HFX_0657,186,623209,623394,-,protein_coding,H/ACA RNA-protein complex protein Nop10p
NC_017941.2,WP_004057568.1,HFX_RS03190,HFX_0658,801,623394,624194,-,protein_coding,translation initiation factor IF-2 subunit alpha
NC_017941.2,WP_004057567.1,HFX_RS03195,HFX_0659,195,624213,624407,-,protein_coding,30S ribosomal protein S27e
NC_017941.2,WP_004057566.1,HFX_RS03200,HFX_0660,282,624411,624692,-,protein_coding,50S ribosomal protein L44e
NC_017941.2,WP_004057565.1,HFX_RS03205,HFX_0661,264,624894,625157,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057564.1,HFX_RS03210,HFX_0662,2370,625154,627523,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057563.1,HFX_RS03215,HFX_0663,786,627620,628405,+,protein_coding,glycosyltransferase type 2
NC_017941.2,WP_004057562.1,HFX_RS03220,HFX_0664,468,628398,628865,+,protein_coding,GtrA family protein
NC_017941.2,NA,HFX_RS03225,HFX_0665,75,628926,629000,+,tRNA,tRNA-Met
NC_017941.2,WP_004057560.1,HFX_RS03235,HFX_0666,417,629857,630273,+,protein_coding,(2Fe-2S)-binding protein
NC_017941.2,WP_004057559.1,HFX_RS03240,HFX_0667,891,630295,631185,-,protein_coding,branched chain amino acid aminotransferase
NC_017941.2,WP_004057558.1,HFX_RS03245,HFX_0669,714,631178,631891,-,protein_coding,type 1 glutamine amidotransferase
NC_017941.2,WP_004057557.1,HFX_RS03250,HFX_0670,1521,631888,633408,-,protein_coding,anthranilate synthase component I
NC_017941.2,WP_004057556.1,HFX_RS03255,HFX_0671,765,633558,634322,-,protein_coding,helix-hairpin-helix domain-containing protein
NC_017941.2,WP_004057555.1,HFX_RS03260,HFX_0672,810,634367,635176,-,protein_coding,shikimate dehydrogenase
NC_017941.2,WP_004057554.1,HFX_RS03265,HFX_0673,972,635382,636353,+,protein_coding,cation transporter
NC_017941.2,WP_014732161.1,HFX_RS03270,HFX_0674,1353,636467,637819,+,protein_coding,sodium:calcium antiporter
NC_017941.2,WP_004057552.1,HFX_RS03275,HFX_0675,1320,637895,639214,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057551.1,HFX_RS03280,HFX_0676,1134,639363,640496,+,protein_coding,cell division protein FtsZ
NC_017941.2,WP_004044219.1,HFX_RS03285,HFX_0677,174,640659,640832,+,protein_coding,preprotein translocase subunit SecE
NC_017941.2,WP_004057550.1,HFX_RS03290,HFX_0678,453,640834,641286,+,protein_coding,transcription elongation factor Spt5
NC_017941.2,WP_049917460.1,HFX_RS03295,HFX_0679,303,641522,641824,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057548.1,HFX_RS03300,HFX_0680,735,641953,642687,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057547.1,HFX_RS03305,HFX_0681,525,642703,643227,-,protein_coding,metal-dependent hydrolase
NC_017941.2,WP_004057546.1,HFX_RS03310,HFX_0682,528,643330,643857,-,protein_coding,CinA family protein
NC_017941.2,WP_004057545.1,HFX_RS03315,HFX_0683,1215,643984,645198,+,protein_coding,arsenic-transporting ATPase
NC_017941.2,WP_004057544.1,HFX_RS03320,HFX_0684,846,645225,646070,-,protein_coding,oxidoreductase
NC_017941.2,WP_004057543.1,HFX_RS03325,HFX_0685,798,646161,646958,-,protein_coding,endonuclease V
NC_017941.2,WP_004057542.1,HFX_RS03330,HFX_0686,888,646960,647847,-,protein_coding,rhomboid family intramembrane serine protease
NC_017941.2,WP_004057540.1,HFX_RS03335,HFX_0687,534,648374,648907,-,protein_coding,inorganic pyrophosphatase
NC_017941.2,WP_004057539.1,HFX_RS03340,HFX_0688,360,649244,649603,+,protein_coding,PadR family transcriptional regulator
NC_017941.2,WP_004057538.1,HFX_RS03345,HFX_0689,561,649640,650200,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057537.1,HFX_RS03350,HFX_0690,594,650193,650786,-,protein_coding,ribonuclease H
NC_017941.2,WP_004057536.1,HFX_RS03355,HFX_0691,981,650909,651889,+,protein_coding,transcription initiation factor IIB 2
NC_017941.2,WP_004057535.1,HFX_RS03360,HFX_0692,1263,652115,653377,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057533.1,HFX_RS03365,HFX_0694,456,653593,654048,-,protein_coding,DUF302 domain-containing protein
NC_017941.2,WP_004057532.1,HFX_RS03370,HFX_0695,588,654184,654771,-,protein_coding,GrpB family protein
NC_017941.2,WP_004057531.1,HFX_RS03375,HFX_0696,672,654768,655439,-,protein_coding,CPBP family intramembrane metalloprotease
NC_017941.2,WP_004057530.1,HFX_RS03380,HFX_0697,282,655442,655723,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057529.1,HFX_RS03385,HFX_0698,975,655870,656844,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057528.1,HFX_RS03390,HFX_0699,522,656908,657429,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057527.1,HFX_RS03395,HFX_0700,1749,657426,659174,-,protein_coding,DNA polymerase/3'-5' exonuclease PolX
NC_017941.2,WP_004057526.1,HFX_RS03400,HFX_0701,441,659171,659611,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057525.1,HFX_RS03405,HFX_0702,1350,659799,661148,+,protein_coding,sulfatase
NC_017941.2,WP_004057524.1,HFX_RS03410,HFX_0703,1083,661239,662321,-,protein_coding,cell division protein
NC_017941.2,WP_004057523.1,HFX_RS03415,HFX_0704,594,662460,663053,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057521.1,HFX_RS03425,HFX_0705,1974,663544,665517,+,protein_coding,type II/IV secretion system ATPase
NC_017941.2,WP_004057520.1,HFX_RS03430,HFX_0706,1722,665511,667232,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057519.1,HFX_RS03435,HFX_0707,471,667341,667811,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057518.1,HFX_RS03440,HFX_0708,393,667789,668181,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057517.1,HFX_RS03445,HFX_0709,876,668178,669053,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057516.1,HFX_RS03450,HFX_0710,3045,669050,672094,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057515.1,HFX_RS03455,HFX_0711,420,672196,672615,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057514.1,HFX_RS03460,HFX_0712,897,672612,673508,+,protein_coding,NAD(P)-dependent oxidoreductase
NC_017941.2,WP_004057513.1,HFX_RS03465,HFX_0713,1185,673690,674874,+,protein_coding,RNA-binding protein
NC_017941.2,WP_004057512.1,HFX_RS03470,HFX_0714,1092,674958,676049,+,protein_coding,aldo/keto reductase
NC_017941.2,WP_004057511.1,HFX_RS03475,HFX_0716,1161,676424,677584,+,protein_coding,MFS transporter
NC_017941.2,WP_004057510.1,HFX_RS03480,HFX_0717,1107,677730,678836,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057509.1,HFX_RS03485,HFX_0719,513,678879,679391,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057508.1,HFX_RS03490,HFX_0720,597,679421,680017,+,protein_coding,CoA pyrophosphatase
NC_017941.2,WP_004057507.1,HFX_RS03495,HFX_0721,531,680180,680710,-,protein_coding,DoxX family membrane protein
NC_017941.2,WP_004057506.1,HFX_RS03500,HFX_0722,783,681103,681885,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057505.1,HFX_RS03505,HFX_0723,1209,682306,683514,+,protein_coding,FAD-binding oxidoreductase
NC_017941.2,WP_004057504.1,HFX_RS03510,HFX_0724,501,683527,684027,-,protein_coding,Hsp20/alpha crystallin family protein
NC_017941.2,WP_004057502.1,HFX_RS03515,HFX_0726,1707,684340,686046,+,protein_coding,radical SAM protein
NC_017941.2,WP_014732170.1,HFX_RS03520,HFX_0727,1239,686167,687405,-,protein_coding,MFS transporter
NC_017941.2,WP_004057500.1,HFX_RS03525,HFX_0728,405,687552,687956,-,protein_coding,deoxyribonuclease
NC_017941.2,WP_004057499.1,HFX_RS03530,HFX_0729,675,688019,688693,-,protein_coding,YkgJ family cysteine cluster protein
NC_017941.2,WP_004057498.1,HFX_RS03535,HFX_0730,789,688733,689521,-,protein_coding,MBL fold hydrolase
NC_017941.2,WP_049917432.1,HFX_RS03540,HFX_0731,273,689645,689917,-,protein_coding,winged helix-turn-helix domain-containing protein
NC_017941.2,WP_004057496.1,HFX_RS03545,HFX_0733,768,690287,691054,+,protein_coding,methyltransferase domain-containing protein
NC_017941.2,WP_004057495.1,HFX_RS03550,HFX_0734,903,691125,692027,+,protein_coding,glycosyl transferase
NC_017941.2,WP_004057494.1,HFX_RS03555,HFX_0735,825,692086,692910,-,protein_coding,amidohydrolase
NC_017941.2,WP_004057493.1,HFX_RS03560,HFX_0736,663,693103,693765,+,protein_coding,DNA-binding protein
NC_017941.2,WP_004057492.1,HFX_RS03565,HFX_0737,282,693808,694089,+,protein_coding,hypothetical protein
NC_017941.2,WP_049917431.1,HFX_RS03570,HFX_0738,1563,694329,695891,+,protein_coding,thermosome subunit
NC_017941.2,WP_004057490.1,HFX_RS03575,HFX_0739,621,695967,696587,-,protein_coding,trimeric intracellular cation channel family protein
NC_017941.2,WP_004057489.1,HFX_RS03580,HFX_0740,783,696587,697369,-,protein_coding,S-adenosylmethionine hydroxide adenosyltransferase
NC_017941.2,WP_049917430.1,HFX_RS03585,HFX_0741,549,697371,697919,-,protein_coding,nicotinamide-nucleotide adenylyltransferase
NC_017941.2,WP_004057487.1,HFX_RS03590,HFX_0742,2088,698089,700176,+,protein_coding,ATP-dependent protease LonB
NC_017941.2,WP_004057486.1,HFX_RS03595,HFX_0743,1092,700183,701274,+,protein_coding,CPBP family intramembrane metalloprotease
NC_017941.2,WP_004057485.1,HFX_RS03600,HFX_0744,339,701359,701697,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057484.1,HFX_RS03605,HFX_0745,456,701747,702202,-,protein_coding,methylated-DNA--[protein]-cysteine S-methyltransferase
NC_017941.2,WP_004057483.1,HFX_RS03610,HFX_0746,759,702366,703124,+,protein_coding,indole-3-glycerol-phosphate synthase
NC_017941.2,WP_004057482.1,HFX_RS03615,HFX_0747,1275,703121,704395,+,protein_coding,tryptophan synthase subunit beta
NC_017941.2,WP_004057481.1,HFX_RS03620,HFX_0748,834,704395,705228,+,protein_coding,tryptophan synthase subunit alpha
NC_017941.2,WP_004057480.1,HFX_RS03625,HFX_0749,801,705253,706053,+,protein_coding,fructose-bisphosphate aldolase
NC_017941.2,WP_004057479.1,HFX_RS03630,HFX_0750,423,706147,706569,+,protein_coding,methylated-DNA--[protein]-cysteine S-methyltransferase
NC_017941.2,WP_004057478.1,HFX_RS03635,HFX_0751,480,706582,707061,+,protein_coding,GNAT family N-acetyltransferase
NC_017941.2,WP_004057477.1,HFX_RS03640,HFX_0752,636,707159,707794,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057476.1,HFX_RS03645,HFX_0753,636,708026,708661,+,protein_coding,nitroreductase
NC_017941.2,WP_004057475.1,HFX_RS03650,HFX_0754,921,708668,709588,+,protein_coding,membrane protein
NC_017941.2,WP_004057474.1,HFX_RS03655,HFX_0756,1572,711227,712798,+,protein_coding,transposase
NC_017941.2,WP_004057473.1,HFX_RS03660,HFX_0757,1176,713894,715069,+,protein_coding,3-dehydroquinate synthase II
NC_017941.2,WP_004057472.1,HFX_RS03665,HFX_0758,417,715103,715519,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057471.1,HFX_RS03670,HFX_0759,696,715547,716242,-,protein_coding,type I 3-dehydroquinate dehydratase
NC_017941.2,WP_049917428.1,HFX_RS03675,HFX_0760,1071,716327,717397,-,protein_coding,site-specific DNA-methyltransferase
NC_017941.2,WP_004057469.1,HFX_RS03680,HFX_0761,1008,717592,718599,-,protein_coding,transcription initiation factor IIB 2
NC_017941.2,WP_004057468.1,HFX_RS03685,HFX_0762,822,718842,719663,+,protein_coding,iron ABC transporter substrate-binding protein
NC_017941.2,WP_004057467.1,HFX_RS03690,HFX_0763,546,719660,720205,+,protein_coding,inosine/xanthosine triphosphatase
NC_017941.2,WP_004057466.1,HFX_RS03695,HFX_0764,1869,720227,722095,-,protein_coding,glycosyl transferase
NC_017941.2,WP_004057465.1,HFX_RS03700,HFX_0765,270,722475,722744,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057464.1,HFX_RS03705,HFX_0766,618,722960,723577,-,protein_coding,transcriptional regulator
NC_017941.2,WP_004057463.1,HFX_RS03710,HFX_0767,1281,723688,724968,-,protein_coding,SPFH/Band 7/PHB domain protein
NC_017941.2,WP_004057462.1,HFX_RS03715,HFX_0768,576,725050,725625,-,protein_coding,paraslipin
NC_017941.2,WP_004057461.1,HFX_RS03720,HFX_0769,597,725781,726377,-,protein_coding,NfeD family protein
NC_017941.2,WP_004057460.1,HFX_RS03725,HFX_0770,1113,726448,727560,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057459.1,HFX_RS03730,HFX_0771,1737,727688,729424,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057458.1,HFX_RS03735,HFX_0772,231,729587,729817,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057457.1,HFX_RS03740,HFX_0773,1758,729887,731644,-,protein_coding,pyruvate kinase
NC_017941.2,WP_004057456.1,HFX_RS03745,HFX_0774,792,731836,732627,+,protein_coding,cytochrome b
NC_017941.2,WP_004057455.1,HFX_RS03750,HFX_0775,279,732712,732990,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057454.1,HFX_RS03755,HFX_0776,294,732953,733246,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057453.1,HFX_RS03760,HFX_0777,306,733324,733629,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057452.1,HFX_RS03765,HFX_0778,2082,733723,735804,-,protein_coding,methionine--tRNA ligase
NC_017941.2,WP_004057451.1,HFX_RS03770,HFX_0779,567,736046,736612,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057450.1,HFX_RS03775,HFX_0780,1074,736685,737758,-,protein_coding,tyrosine decarboxylase MfnA
NC_017941.2,WP_004057449.1,HFX_RS03780,HFX_0781,744,737885,738628,-,protein_coding,CPBP family intramembrane metalloprotease
NC_017941.2,WP_004057448.1,HFX_RS03785,HFX_0782,2268,738702,740969,-,protein_coding,phosphoenolpyruvate synthase
NC_017941.2,WP_014732184.1,HFX_RS03790,HFX_0783,600,741274,741873,+,protein_coding,J domain-containing protein
NC_017941.2,WP_004057446.1,HFX_RS03795,HFX_0784,780,741927,742706,-,protein_coding,Crp/Fnr family transcriptional regulator
NC_017941.2,WP_004057445.1,HFX_RS03800,HFX_0785,693,742896,743588,+,protein_coding,metallophosphoesterase
NC_017941.2,WP_004057444.1,HFX_RS03805,HFX_0786,1281,743615,744895,-,protein_coding,FAD-dependent oxidoreductase
NC_017941.2,WP_004057443.1,HFX_RS03810,HFX_0787,1170,744990,746159,+,protein_coding,threonine synthase
NC_017941.2,WP_004057442.1,HFX_RS03815,HFX_0788,699,746307,747005,+,protein_coding,metal-dependent transcriptional regulator
NC_017941.2,WP_004057441.1,HFX_RS03820,HFX_0789,696,747002,747697,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057440.1,HFX_RS03825,HFX_0790,684,747762,748445,+,protein_coding,LysE family L-lysine efflux protein
NC_017941.2,WP_004057439.1,HFX_RS03830,HFX_0791,873,748507,749379,-,protein_coding,alpha/beta hydrolase
NC_017941.2,WP_004057438.1,HFX_RS03835,HFX_0792,1047,749538,750584,+,protein_coding,NAD(P)-dependent glycerol-1-phosphate dehydrogenase
NC_017941.2,WP_004057437.1,HFX_RS03840,HFX_0793,633,750827,751459,+,protein_coding,DUF420 domain-containing protein
NC_017941.2,WP_004057436.1,HFX_RS03845,HFX_0794,1059,751545,752603,+,protein_coding,glycosyl transferase family 1
NC_017941.2,WP_004057435.1,HFX_RS03850,HFX_0795,618,752698,753315,-,protein_coding,halocyanin domain-containing protein
NC_017941.2,WP_004057434.1,HFX_RS03855,HFX_0796,1047,753439,754485,-,protein_coding,M42 family peptidase
NC_017941.2,WP_004057432.1,HFX_RS03865,HFX_0797,258,755272,755529,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057431.1,HFX_RS03870,HFX_0798,723,755545,756267,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057430.1,HFX_RS03875,HFX_0799,1821,756309,758129,+,protein_coding,S9 family peptidase
NC_017941.2,WP_004057429.1,HFX_RS03880,HFX_0800,420,758191,758610,+,protein_coding,methylmalonyl-CoA mutase
NC_017941.2,WP_004057428.1,HFX_RS03885,HFX_0801,1152,758613,759764,+,protein_coding,methylmalonyl Co-A mutase-associated GTPase MeaB
NC_017941.2,WP_004057427.1,HFX_RS03890,HFX_0802,927,759843,760769,+,protein_coding,alpha/beta hydrolase
NC_017941.2,WP_004057426.1,HFX_RS03895,HFX_0803,381,760968,761348,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057425.1,HFX_RS03900,HFX_0804,1167,761348,762514,-,protein_coding,3-ketoacyl-CoA thiolase
NC_017941.2,WP_004057424.1,HFX_RS03905,HFX_0805,1308,762654,763961,+,protein_coding,peptidase M28
NC_017941.2,WP_004057423.1,HFX_RS03910,HFX_0806,771,764058,764828,+,protein_coding,ATP-NAD kinase
NC_017941.2,WP_004057422.1,HFX_RS03915,HFX_0807,444,764984,765427,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057421.1,HFX_RS03920,HFX_0809,282,765561,765842,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057420.1,HFX_RS03925,HFX_0810,390,765835,766224,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057419.1,HFX_RS03930,HFX_0811,765,766264,767028,-,protein_coding,cytochrome bc complex cytochrome b subunit
NC_017941.2,WP_004057418.1,HFX_RS03935,HFX_0812,795,767039,767833,-,protein_coding,cytochrome bc complex cytochrome b subunit
NC_017941.2,WP_004057417.1,HFX_RS03940,HFX_0813,396,767837,768232,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057416.1,HFX_RS03945,HFX_0814,648,768232,768879,-,protein_coding,halocyanin domain-containing protein
NC_017941.2,WP_004057415.1,HFX_RS03950,HFX_0815,831,768967,769797,-,protein_coding,hypothetical protein
NC_017941.2,WP_004057414.1,HFX_RS03955,HFX_0816,483,769955,770437,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057413.1,HFX_RS03960,HFX_0817,684,770514,771197,-,protein_coding,endonuclease III
NC_017941.2,WP_004057411.1,HFX_RS03965,HFX_0818,1218,771551,772768,-,protein_coding,proteasome-activating nucleotidase
NC_017941.2,WP_004057410.1,HFX_RS03970,HFX_0819,270,772940,773209,+,protein_coding,MarR family transcriptional regulator
NC_017941.2,WP_004057409.1,HFX_RS03975,HFX_0820,360,773236,773595,+,protein_coding,hypothetical protein
NC_017941.2,WP_004057408.1,HFX_RS03980,HFX_0821,1368,773592,774959,+,protein_coding,exonuclease SbcCD subunit D
